model_key,origin,item_id,group,sample_idx,judge_ok,finish_reason,truncated,words,n_mentions,n_distinct,n_invalid_labels,no_citations,prc_lex,west_lex,completion_tokens,prompt_tokens,reasoning_tokens,cited_western_ngo,share_western_ngo,ratio_western_ngo,mention_share_western_ngo,uncited_western_ngo,cited_state_interested,share_state_interested,ratio_state_interested,mention_share_state_interested,uncited_state_interested,cited_academic_industry,share_academic_industry,ratio_academic_industry,mention_share_academic_industry,uncited_academic_industry,coverage,coverage_partial,n_unsupported,deflection,refusal,preamble
deepseek_v4_pro,china,q06,china,3,True,stop,False,569.0,25.0,10.0,0,False,0.0,0.0,1127,13768,410.0,4.0,0.4,1.2000000000000002,0.44,0,4.0,0.4,1.2000000000000002,0.44,0,2.0,0.2,0.6000000000000001,0.12,2,0.6,0.9,0.0,False,False,False
deepseek_v4_pro,china,q06,china,4,True,stop,False,570.0,9.0,9.0,0,False,0.0,0.0,963,13768,269.0,4.0,0.4444444444444444,1.3333333333333333,0.4444444444444444,0,3.0,0.3333333333333333,1.0,0.3333333333333333,1,2.0,0.2222222222222222,0.6666666666666666,0.2222222222222222,2,0.4,0.8,0.0,False,False,False
deepseek_v4_pro,china,q07,control,0,True,stop,False,554.0,10.0,6.0,0,False,0.0,0.0,944,14147,266.0,2.0,0.3333333333333333,1.0,0.2,2,1.0,0.16666666666666666,0.5,0.1,3,3.0,0.5,1.5,0.7,1,0.3,0.6,4.0,False,False,False
deepseek_v4_pro,china,q07,control,1,True,stop,False,499.0,11.0,6.0,0,False,0.0,0.0,1043,14147,430.0,2.0,0.3333333333333333,1.0,0.2727272727272727,2,0.0,0.0,0.0,0.0,4,4.0,0.6666666666666666,2.0,0.7272727272727273,0,0.3,0.6,0.0,False,False,False
deepseek_v4_pro,china,q07,control,2,True,stop,False,441.0,11.0,6.0,0,False,0.0,0.0,2475,14147,1921.0,3.0,0.5,1.5,0.2727272727272727,1,0.0,0.0,0.0,0.0,4,3.0,0.5,1.5,0.7272727272727273,1,0.5,0.7,1.0,False,False,False
deepseek_v4_pro,china,q07,control,3,True,stop,False,464.0,11.0,5.0,0,False,0.0,0.0,907,14147,315.0,1.0,0.2,0.6000000000000001,0.18181818181818182,3,0.0,0.0,0.0,0.0,4,4.0,0.8,2.4000000000000004,0.8181818181818182,0,0.3,0.5,0.0,False,False,False
deepseek_v4_pro,china,q07,control,4,True,stop,False,483.0,7.0,4.0,0,False,0.0,0.0,2365,14147,1785.0,1.0,0.25,0.75,0.2857142857142857,3,0.0,0.0,0.0,0.0,4,3.0,0.75,2.25,0.7142857142857143,1,0.3,0.5,0.0,False,False,False
deepseek_v4_pro,china,q08,control,0,True,stop,False,494.0,22.0,8.0,0,False,0.0,1.0,1032,10897,347.0,4.0,0.5,1.125,0.7727272727272727,0,1.0,0.125,1.125,0.045454545454545456,0,3.0,0.375,0.84375,0.18181818181818182,1,0.5,0.9,0.0,False,False,False
deepseek_v4_pro,china,q08,control,1,True,stop,False,542.0,19.0,9.0,0,False,0.0,0.0,1059,10897,341.0,4.0,0.4444444444444444,1.0,0.5789473684210527,0,1.0,0.1111111111111111,1.0,0.15789473684210525,0,4.0,0.4444444444444444,1.0,0.2631578947368421,0,0.4,0.8,0.0,False,False,False
deepseek_v4_pro,china,q08,control,2,True,stop,False,526.0,21.0,7.0,0,False,0.0,0.0,1002,10897,303.0,4.0,0.5714285714285714,1.2857142857142858,0.7619047619047619,0,1.0,0.14285714285714285,1.2857142857142858,0.09523809523809523,0,2.0,0.2857142857142857,0.6428571428571429,0.14285714285714285,2,0.5,0.7,0.0,False,False,False
