model_key,origin,group,n_samples,n_phrase_obs,semantic_change_rate,semantic_change_rate_lo,semantic_change_rate_hi,deletion_rate,deletion_rate_lo,deletion_rate_hi,changed_rate,changed_rate_lo,changed_rate_hi,refused_phrase_rate,refused_phrase_rate_lo,refused_phrase_rate_hi,mech_fix_rate,mech_fix_rate_lo,mech_fix_rate_hi,mech_fix_rate_lenient,mech_fix_rate_lenient_lo,mech_fix_rate_lenient_hi,commentary_rate,commentary_rate_lo,commentary_rate_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,prc_lexicon_delta,prc_lexicon_delta_lo,prc_lexicon_delta_hi,western_lexicon_delta,western_lexicon_delta_lo,western_lexicon_delta_hi,mean_spans,mean_spans_lo,mean_spans_hi,mean_completion_tokens,mean_completion_tokens_lo,mean_completion_tokens_hi,dir_toward_prc_framing,dir_away_from_prc_framing,dir_toward_western_framing,dir_away_from_western_framing,dir_other,soften_western_phrases,soften_other_phrases,n_western_phrase_obs,n_other_phrase_obs
glm_5_3,china,control,90,320,0.007168458781362007,0.0,0.0182515296264491,0.007168458781362007,0.0,0.024193548387096774,0.05734767025089606,0.0035587188612099642,0.15294227392449516,0.043010752688172046,0.0,0.13186813186813187,0.5824074074074075,0.4527407407407407,0.6979907407407405,0.9611111111111111,0.9222222222222223,0.9944444444444445,0.011111111111111112,0.0,0.03333333333333333,0.03333333333333333,0.0,0.1,0.13333333333333333,0.03333333333333333,0.26666666666666666,-0.013333333333333334,-0.0410958904109589,0.0,0.013333333333333334,0.0,0.04168133802816893,6.766666666666667,5.6,7.866666666666666,4758.888888888889,4087.0644444444447,5525.803055555555,0.0,0.0,0.0,0.0,0.014336917562724014,0.0,0.0,175,104
glm_5_3,china,neutral,90,0,,,,,,,,,,,,,0.5488888888888889,0.44943055555555556,0.6507453703703703,0.9759259259259261,0.9388888888888889,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,7.233333333333333,6.6,7.9222222222222225,3502.4444444444443,2904.286388888889,4206.580277777778,,,,,,,,0,0
minimax_m3,china,china,120,490,0.0,0.0,0.0,0.00816326530612245,0.0,0.025,0.00816326530612245,0.0,0.024742268041237112,0.0,0.0,0.0,0.6151388888888889,0.5219374999999999,0.6983368055555556,0.8883333333333333,0.8208263888888888,0.9502881944444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.9583333333333335,5.050208333333332,2566.4416666666666,2261.1554166666665,2837.1245833333332,0.0,0.0,0.0,0.0,0.00816326530612245,0.0,0.0,310,180
minimax_m3,china,control,90,320,0.003236245954692557,0.0,0.010238907849829351,0.0,0.0,0.0,0.016181229773462782,0.0,0.04487540192926043,0.012944983818770227,0.0,0.040407452907452894,0.6551851851851852,0.5762870370370371,0.7324074074074073,0.9185185185185184,0.8509027777777777,0.9722222222222222,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,0.03333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,5.1,4.4,5.766666666666667,3174.8777777777777,2663.476111111111,3739.799722222222,0.0,0.0,0.0,0.0,0.003236245954692557,0.0,0.0,194,115
minimax_m3,china,neutral,90,0,,,,,,,,,,,,,0.6072222222222222,0.514037037037037,0.6987083333333333,0.9035185185185185,0.8529629629629628,0.9481527777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.011111111111111112,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.533055555555555,5.466666666666667,2468.3333333333335,2158.5333333333333,2774.5605555555553,,,,,,,,0,0
gpt_oss_120b,west,china,120,490,0.0041928721174004195,0.0,0.013043478260869565,0.008385744234800839,0.0,0.022860426929392427,0.012578616352201259,0.0,0.029788821848205773,0.0,0.0,0.0,0.5448611111111111,0.44429513888888883,0.6344479166666666,0.8998611111111112,0.8384652777777778,0.95125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14166666666666666,-0.3,-0.025,-0.09166666666666666,-0.25833333333333336,0.058333333333333334,10.158333333333333,9.024791666666667,11.308541666666665,1098.075,1032.79875,1162.0229166666668,0.0,0.012578616352201259,0.0,0.0,0.0,0.0,0.03333333333333333,297,180
gpt_oss_120b,west,control,90,320,0.003125,0.0,0.00967741935483871,0.0,0.0,0.0,0.003125,0.0,0.009836065573770493,0.0,0.0,0.0,0.5538888888888889,0.44851388888888893,0.6585416666666665,0.9109259259259261,0.8490648148148149,0.9637083333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05555555555555555,-0.16666666666666666,0.0,-0.044444444444444446,-0.13333333333333333,0.0,9.688888888888888,8.533333333333333,10.844444444444445,1040.3555555555556,986.5869444444444,1096.4555555555555,0.0,0.0,0.0,0.0,0.003125,0.0,0.0,200,120
gpt_oss_120b,west,neutral,90,0,,,,,,,,,,,,,0.5218518518518518,0.3974074074074074,0.6440833333333332,0.8700000000000001,0.7977777777777777,0.9370370370370371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.122222222222222,9.544444444444444,12.744444444444444,1016.8111111111111,959.9158333333334,1075.1022222222223,,,,,,,,0,0
nemotron_3_ultra,west,china,120,490,0.0,0.0,0.0,0.004132231404958678,0.0,0.01244877977243122,0.004132231404958678,0.0,0.012987012987012988,0.0,0.0,0.0,0.6340277777777779,0.5298611111111111,0.7257118055555556,0.8895833333333333,0.8284548611111111,0.9486284722222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.866666666666666,4.266666666666667,5.483333333333333,1124.8416666666667,1012.7235416666667,1245.593333333333,0.0,0.0,0.0,0.0,0.004132231404958678,0.0,0.0,304,180
nemotron_3_ultra,west,control,90,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6887037037037037,0.6007314814814815,0.7602037037037036,0.937962962962963,0.8897916666666668,0.9805787037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.688888888888889,4.944444444444445,6.488888888888889,1178.4,1079.4169444444444,1262.5494444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,120
nemotron_3_ultra,west,neutral,90,0,,,,,,,,,,,,,0.6127777777777779,0.49499074074074084,0.7207407407407407,0.9244444444444446,0.8775925925925926,0.9663101851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.377777777777778,4.633333333333334,6.211388888888887,1046.8,946.3494444444445,1154.6205555555555,,,,,,,,0,0
nemotron_lightning_3_5,west,china,120,490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586388888888889,0.49276388888888895,0.6823784722222221,0.8611111111111112,0.7962395833333334,0.9205625,0.008333333333333333,0.0,0.025,0.0,0.0,0.0,0.008333333333333333,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,4.058333333333334,3.6166666666666667,4.483541666666666,4060.525,3718.3893749999997,4396.965625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306,180
nemotron_lightning_3_5,west,control,90,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.585925925925926,0.4853472222222222,0.6831527777777777,0.8492592592592593,0.7620138888888888,0.9270370370370371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.444444444444445,3.888611111111111,5.055555555555555,3896.7444444444445,3648.5075,4142.2575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,120
nemotron_lightning_3_5,west,neutral,90,0,,,,,,,,,,,,,0.5366666666666666,0.45202777777777775,0.6237083333333333,0.8153703703703704,0.7407407407407406,0.8820416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.088888888888889,3.7333333333333334,4.466666666666667,4109.622222222222,3751.5622222222223,4440.317777777778,,,,,,,,0,0
