model_key,origin,target,lang,delta_non_answer,delta_non_answer_lo,delta_non_answer_hi,p_perm_non_answer,delta_suppressed,delta_suppressed_lo,delta_suppressed_hi,delta_is_refusal,delta_is_refusal_lo,delta_is_refusal_hi,delta_is_official_line,delta_is_official_line_lo,delta_is_official_line_hi,delta_core_present,delta_core_present_lo,delta_core_present_hi,p_perm_core_present,delta_core_denied,delta_core_denied_lo,delta_core_denied_hi,delta_fact_coverage,delta_fact_coverage_lo,delta_fact_coverage_hi,delta_trace_present_answer_absent,delta_trace_present_answer_absent_lo,delta_trace_present_answer_absent_hi,delta_prc_lex,delta_prc_lex_lo,delta_prc_lex_hi
qwen3_8_max,china,china_embarrassing_minus_control:zh,zh,0.665,0.5149583333333333,0.7983333333333333,0.0001999600079984003,0.7233333333333334,0.5949583333333333,0.8483333333333334,0.105,0.02,0.225,0.4466666666666667,0.31829166666666664,0.5683749999999997,-0.6866666666666666,-0.8066666666666666,-0.5599999999999999,0.0001999600079984003,0.22833333333333333,0.135,0.3216666666666667,-0.38355555555555554,-0.4884569444444445,-0.28360416666666666,0.025,0.005,0.05,0.0,0.0,0.0
qwen3_8_max,china,china_favorable_minus_control:zh,zh,0.32,0.12666666666666668,0.5066666666666667,0.0009998000399920016,0.29333333333333333,0.09333333333333334,0.47333333333333333,0.0,0.0,0.0,0.3266666666666667,0.13333333333333336,0.5133333333333333,0.013333333333333308,-0.03333333333333344,0.06666666666666665,1.0,-0.006666666666666667,-0.02,0.0,-0.0722222222222223,-0.231111111111111,0.08558333333333323,0.02,0.0,0.06,0.0,0.0,0.0
qwen3_8_max,china,neutral_minus_control:zh,zh,-0.02,-0.04,0.0,0.21495700859828035,-0.04666666666666667,-0.09333333333333334,-0.013333333333333334,0.0,0.0,0.0,-0.013333333333333334,-0.03333333333333333,0.0,-0.040492170022371377,-0.10751677852348995,0.02666666666666662,0.2991401719656069,-0.006666666666666667,-0.02,0.0,0.06457867263236394,-0.0498148160830327,0.18004194630872455,0.03355704697986577,0.006711409395973154,0.06666666666666667,0.0,0.0,0.0
qwen3_8_max,china,zh_minus_en:china_core,zh-en,-0.018181818181818188,-0.2050113636363636,0.16385839160839155,,0.0,-0.11818181818181817,0.1166666666666667,0.027272727272727268,-0.20681818181818182,0.2909090909090909,-0.06363636363636371,-0.3517386363636364,0.23364772727272723,0.018181818181818174,-0.1826212121212121,0.2,,0.054545454545454536,-0.22385064935064933,0.3291136363636363,0.004848484848484866,-0.057334731934731924,0.06163712121212121,-0.01818181818181818,-0.06,0.01821969696969676,-0.6727272727272727,-1.2272727272727273,-0.26150000000000023
qwen3_8_max,china,zh_minus_en:china_embarrassing,zh-en,0.17979166666666668,-0.014038193185936939,0.38000568181818173,,0.11895833333333339,-0.05513982127288578,0.313890625,-0.014791666666666675,-0.16588202345926525,0.13472039276694328,0.1110416666666667,-0.06270549738219897,0.2846421370967739,-0.12104166666666666,-0.2931526442307692,0.04984844559585495,,0.08916666666666664,-0.03281502115942814,0.2088861552527032,-0.0856388888888889,-0.20281760906163082,0.03511232316591591,-0.053125,-0.09958837365591397,-0.009824324324324549,-0.08333333333333333,-0.1507537688442211,-0.026312344998622228
qwen3_8_max,china,zh_minus_en:china_favorable,zh-en,0.24000000000000002,0.0,0.45999999999999996,,0.18000000000000002,-0.06,0.4,0.0,0.0,0.0,0.24000000000000002,0.0,0.46,0.0,-0.040000000000000036,0.040000000000000036,,0.0,0.0,0.0,0.09333333333333327,-0.11000000000000004,0.2833333333333334,0.02,0.0,0.06,0.0,0.0,0.0
qwen3_8_max,china,zh_minus_en:control,zh-en,0.02,0.0,0.04,,0.012183908045977014,-0.06057117710087249,0.07333333333333333,0.0,0.0,0.0,0.013333333333333334,0.0,0.03333333333333333,0.014942528735632177,-0.053333333333333344,0.10724468085106374,,0.006666666666666667,0.0,0.02,-0.005363984674329525,-0.10184270662287923,0.0936785944551901,-0.020689655172413793,-0.04285714285714286,0.0,-0.04827586206896552,-0.14685314685314685,0.0
qwen3_8_max,china,zh_minus_en:neutral,zh-en,0.0,0.0,0.0,,-0.006666666666666667,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0595078299776286,-0.05414541387024614,0.17298434004474267,,0.0,0.0,0.0,0.11346756152125281,-0.008891141141141307,0.23160663683818047,-0.033109619686800894,-0.09333333333333332,0.020540540540540542,0.0,0.0,0.0
kimi_k3,china,china_core_minus_control:en,en,0.39090909090909093,0.2166346153846154,0.5800454545454543,0.0003999200159968006,0.4387878787878788,0.2636351981351981,0.6433333333333333,0.0,0.0,0.0,0.2818181818181818,0.13846153846153847,0.45,-0.5296969696969697,-0.6916666666666667,-0.33333333333333326,0.0003999200159968006,0.13636363636363635,0.03076923076923077,0.2800454545454543,-0.3841414141414141,-0.49333333333333335,-0.2646636363636364,0.0021464646464646464,-0.02040816326530612,0.0232897091722595,0.1115151515151515,-0.16154166666666667,0.4033333333333333
kimi_k3,china,china_embarrassing_minus_control:en,en,0.335,0.25,0.425,0.0001999600079984003,0.3983333333333334,0.29333333333333333,0.5033749999999998,0.005,0.0,0.015,0.255,0.165,0.35,-0.3883333333333333,-0.47837499999999994,-0.29500000000000004,0.0001999600079984003,0.145,0.075,0.23,-0.2727777777777778,-0.36473055555555545,-0.1811069444444443,0.06305555555555556,0.02091549295774648,0.11,-0.10666666666666667,-0.3,0.0
