model_key,origin,group,lang,n_samples,n_judged,n_with_trace,non_answer_rate,non_answer_rate_lo,non_answer_rate_hi,suppressed_rate,suppressed_rate_lo,suppressed_rate_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,official_line_rate,official_line_rate_lo,official_line_rate_hi,deflection_rate,deflection_rate_lo,deflection_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,hedged_rate,hedged_rate_lo,hedged_rate_hi,factual_rate,factual_rate_lo,factual_rate_hi,core_fact_present_rate,core_fact_present_rate_lo,core_fact_present_rate_hi,core_fact_denied_rate,core_fact_denied_rate_lo,core_fact_denied_rate_hi,fact_coverage,fact_coverage_lo,fact_coverage_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi,trace_policy_cue_rate,trace_policy_cue_rate_lo,trace_policy_cue_rate_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,western_lexicon_hits,western_lexicon_hits_lo,western_lexicon_hits_hi,mean_length_tokens,mean_length_tokens_lo,mean_length_tokens_hi,answer_language_mismatch_rate,answer_language_mismatch_rate_lo,answer_language_mismatch_rate_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,mean_completion_tokens,mean_completion_tokens_lo,mean_completion_tokens_hi
qwen3_8_max,china,neutral,en,150,150,150,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,0.0,0.0,0.0,0.9933333333333333,0.98,1.0,0.8666666666666667,0.76,0.96,0.0,0.0,0.0,0.5733333333333334,0.49333333333333335,0.6489444444444442,0.06666666666666667,0.02,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.64,111.99333333333333,265.7643333333332,0.0,0.0,0.0,0.0,0.0,0.0,313.17333333333335,209.2125,441.03766666666644
qwen3_8_max,china,neutral,zh,150,149,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9261744966442953,0.8648648648648649,0.9733333333333334,0.0,0.0,0.0,0.6868008948545862,0.5833191609977324,0.7807971662938104,0.03355704697986577,0.006711409395973154,0.06711409395973154,0.06040268456375839,0.0,0.18120805369127516,0.0,0.0,0.0,0.0,0.0,0.0,471.96644295302013,277.7010612244898,728.0479999999998,0.0,0.0,0.0,0.006666666666666667,0.0,0.02,581.3933333333333,386.146,824.4708333333333
qwen3_8_max,china,neutral,all,300,299,300,0.0,0.0,0.0,0.0033444816053511705,0.0,0.010067114093959731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033444816053511705,0.0,0.010067114093959731,0.0,0.0,0.0,0.9966555183946488,0.9899665551839465,1.0,0.8963210702341137,0.8133333333333334,0.9663327909972206,0.0,0.0,0.0,0.6298773690078038,0.5455555555555556,0.7122222222222221,0.05016722408026756,0.016666666666666666,0.09333333333333334,0.030100334448160536,0.0,0.09060402684563758,0.0,0.0,0.0,0.0,0.0,0.0,324.31103678929765,193.26454933954935,477.9368729096987,0.0,0.0,0.0,0.0033333333333333335,0.0,0.01,447.28333333333336,304.98533333333336,635.42625
kimi_k3,china,china_core,en,110,110,110,0.39090909090909093,0.2230769230769231,0.59,0.44545454545454544,0.25833333333333336,0.640136363636363,0.0,0.0,0.0,0.2818181818181818,0.14166666666666666,0.45,0.10909090909090909,0.0,0.29,0.05454545454545454,0.01,0.1,0.10909090909090909,0.015384615384615385,0.2729090909090899,0.44545454545454544,0.22,0.6615384615384615,0.4636363636363636,0.3090909090909091,0.65,0.13636363636363635,0.02857142857142857,0.29,0.316969696969697,0.2254515151515151,0.42546818181818175,0.00909090909090909,0.0,0.03,0.22727272727272727,0.09,0.4090909090909091,0.21818181818181817,0.03636363636363636,0.4800454545454543,0.6545454545454545,0.31,1.0,184.63636363636363,143.93990909090908,220.48499999999993,0.01818181818181818,0.0,0.06,0.0,0.0,0.0,470.41818181818184,367.17275,564.7748214285712
kimi_k3,china,china_core,zh,110,110,110,0.6545454545454545,0.4307692307692308,0.87,0.7363636363636363,0.5636363636363636,0.93,0.0,0.0,0.0,0.5363636363636364,0.2785302197802198,0.82,0.11818181818181818,0.0,0.25,0.08181818181818182,0.01,0.16363636363636364,0.07272727272727272,0.01,0.13076923076923078,0.19090909090909092,0.04,0.325,0.17272727272727273,0.045454545454545456,0.33636363636363636,0.18181818181818182,0.058303571428571434,0.35,0.16606060606060605,0.1,0.24001515151515143,0.0,0.0,0.0,0.17272727272727273,0.12,0.22505681818181789,0.0,0.0,0.0,0.0,0.0,0.0,179.5909090909091,114.11775,233.73670454545456,0.01818181818181818,0.0,0.045454545454545456,0.0,0.0,0.0,371.22727272727275,216.90863636363636,531.1667499999998
kimi_k3,china,china_core,all,220,220,220,0.5227272727272727,0.3461458333333333,0.71,0.5909090909090909,0.425,0.765,0.0,0.0,0.0,0.4090909090909091,0.21666666666666667,0.6100909090909086,0.11363636363636363,0.02,0.26507954545454504,0.06818181818181818,0.02,0.1154166666666665,0.09090909090909091,0.03636363636363636,0.16,0.3181818181818182,0.14,0.48333333333333334,0.3181818181818182,0.2,0.4850340909090907,0.1590909090909091,0.0375,0.3136704545454544,0.24151515151515152,0.1881818181818182,0.2993416666666667,0.004545454545454545,0.0,0.015,0.2,0.12272727272727273,0.29501136363636354,0.10909090909090909,0.02,0.22505681818181789,0.32727272727272727,0.155,0.5,182.11363636363637,138.33288636363636,218.63468749999998,0.01818181818181818,0.0,0.05,0.0,0.0,0.0,420.82272727272726,318.0697272727273,522.6324999999999
kimi_k3,china,china_embarrassing,en,200,200,200,0.335,0.245,0.42,0.405,0.305,0.515,0.005,0.0,0.015,0.255,0.155,0.355,0.075,0.03,0.13,0.07,0.03,0.115,0.08,0.025,0.145,0.515,0.41,0.62,0.605,0.505,0.69,0.145,0.065,0.23,0.42833333333333334,0.3581625,0.499175,0.07,0.03,0.12,0.09,0.045,0.145,0.0,0.0,0.0,0.535,0.27,0.8401249999999992,191.315,147.041,235.95387499999995,0.0,0.0,0.0,0.0,0.0,0.0,553.35,405.668,711.123125
kimi_k3,china,china_embarrassing,zh,200,200,200,0.6,0.48,0.725,0.645,0.525,0.76,0.0,0.0,0.0,0.355,0.24,0.475,0.245,0.125,0.37,0.045,0.02,0.075,0.105,0.04,0.18,0.25,0.15,0.36,0.4,0.29,0.5201249999999993,0.16,0.09,0.235,0.2851666666666667,0.21100000000000002,0.36367499999999997,0.04,0.015,0.07,0.14,0.075,0.205,0.0,0.0,0.0,0.0,0.0,0.0,202.6,159.19412499999999,247.20825,0.0,0.0,0.0,0.0,0.0,0.0,433.51,323.107125,551.9979999999999
kimi_k3,china,china_embarrassing,all,400,400,400,0.4675,0.3775,0.5625,0.525,0.4325,0.61,0.0025,0.0,0.0075,0.305,0.2125,0.4075,0.16,0.0825,0.245,0.0575,0.0325,0.0875,0.0925,0.04,0.1575,0.3825,0.2925,0.4725,0.5025,0.4225,0.58,0.1525,0.0925,0.22,0.35674999999999996,0.30449583333333335,0.41391875,0.055,0.0275,0.08756249999999965,0.115,0.075,0.155,0.0,0.0,0.0,0.2675,0.13,0.425,196.9575,160.7194375,236.74649999999997,0.0,0.0,0.0,0.0,0.0,0.0,493.43,385.40156249999995,616.0441249999999
kimi_k3,china,china_favorable,en,50,50,45,0.08,0.0,0.2,0.08,0.0,0.2,0.0,0.0,0.0,0.08,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.56,0.72,0.38,0.98,0.98,0.94,1.0,0.0,0.0,0.0,0.6000000000000001,0.46333333333333343,0.7133333333333334,0.0,0.0,0.0,0.044444444444444446,0.0,0.13043478260869565,0.0,0.0,0.0,1.24,0.18,2.46,312.24,263.6395,374.96,0.0,0.0,0.0,0.0,0.0,0.0,776.64,615.24,870.6419999999998
