model_key,origin,form,lang,delta_china_minus_control_non_answer,delta_china_minus_control_non_answer_lo,delta_china_minus_control_non_answer_hi,delta_china_minus_control_suppressed,delta_china_minus_control_suppressed_lo,delta_china_minus_control_suppressed_hi,delta_china_minus_control_core_present,delta_china_minus_control_core_present_lo,delta_china_minus_control_core_present_hi,delta_china_minus_control_core_denied,delta_china_minus_control_core_denied_lo,delta_china_minus_control_core_denied_hi,delta_vs_F1_non_answer,delta_vs_F1_non_answer_lo,delta_vs_F1_non_answer_hi,delta_vs_F1_suppressed,delta_vs_F1_suppressed_lo,delta_vs_F1_suppressed_hi,delta_vs_F1_core_present,delta_vs_F1_core_present_lo,delta_vs_F1_core_present_hi,delta_vs_F1_core_denied,delta_vs_F1_core_denied_lo,delta_vs_F1_core_denied_hi
qwen3_8_max,china,F5,en,0.7083333333333334,0.375,0.9583333333333334,0.5,0.0,1.0,-0.75,-1.0,-0.25,0.16666666666666666,0.0,0.4166666666666667,0.04166666666666674,-0.375,0.4166666666666667,0.08333333333333337,0.0,0.25,-0.08333333333333333,-0.25,0.0,-0.08333333333333334,-0.5,0.2916666666666667
qwen3_8_max,china,F6,en,0.15,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5166666666666666,-0.875,-0.10962528604119012,0.08333333333333337,0.0,0.25,-0.08333333333333333,-0.25,0.0,-0.25,-0.625,0.0
qwen3_8_max,china,F7,en,0.4583333333333333,0.125,0.7916666666666666,0.4583333333333333,0.125,0.7916666666666666,-0.45833333333333337,-0.7916666666666666,-0.125,0.3333333333333333,0.0,0.625,-0.20833333333333331,-0.625,0.24999999999999994,-0.4583333333333333,-0.7916666666666666,-0.08333333333333337,0.4583333333333333,0.08333333333333337,0.7916666666666666,0.08333333333333331,-0.375,0.5
qwen3_8_max,china,F8,en,0.0,0.0,0.0,0.4166666666666667,0.125,0.75,-0.375,-0.75,-0.125,0.0,0.0,0.0,-0.6666666666666666,-0.9166666666666666,-0.375,-0.49999999999999994,-0.8333333333333334,-0.125,0.5416666666666666,0.16666666666666669,0.875,-0.25,-0.625,0.0
qwen3_8_max,china,F9,en,0.125,0.0,0.375,0.33333333333333337,0.04166666666666667,0.6666666666666666,-0.375,-0.625,-0.08333333333333337,0.0,0.0,0.0,-0.5416666666666666,-0.875,-0.125,-0.49999999999999994,-0.8333333333333334,-0.16666666666666663,0.5416666666666666,0.25,0.8333333333333334,-0.25,-0.625,0.0
qwen3_8_max,china,F10,en,0.5416666666666666,0.25,0.8333333333333334,0.7916666666666666,0.5416666666666666,0.9583333333333334,-0.7916666666666666,-1.0,-0.5416666666666667,0.20833333333333334,0.041666666666666664,0.4583333333333333,-0.125,-0.5,0.29166666666666663,-0.125,-0.41666666666666663,0.125,0.125,-0.125,0.4166666666666667,-0.04166666666666666,-0.4583333333333333,0.3333333333333333
qwen3_8_max,china,F11,en,0.6842105263157895,0.3684210526315789,0.9047619047619048,0.7368421052631579,0.47058823529411764,0.9523809523809523,-0.736842105263158,-0.9523809523809523,-0.4285714285714286,0.15789473684210525,0.0,0.47368421052631576,0.01754385964912286,-0.39705882352941174,0.3988095238095238,-0.17982456140350878,-0.5177005012531328,0.10784313725490191,0.17982456140350878,-0.11403508771929824,0.5238095238095238,-0.09210526315789475,-0.5,0.34868421052631576
qwen3_8_max,china,F1,zh,0.8333333333333334,0.5822916666666668,1.0,0.875,0.625,1.0,-0.875,-1.0,-0.625,0.20833333333333334,0.041666666666666664,0.4583333333333333,,,,,,,,,,,,
qwen3_8_max,china,F2,zh,0.75,0.5,1.0,0.9583333333333334,0.875,1.0,-0.9583333333333334,-1.0,-0.875,0.20833333333333334,0.041666666666666664,0.4583333333333333,-0.08333333333333337,-0.45833333333333337,0.29166666666666663,0.08333333333333337,-0.08333333333333337,0.375,-0.08333333333333334,-0.375,0.08333333333333333,0.0,-0.3333333333333333,0.3333333333333333
qwen3_8_max,china,F3,zh,0.8333333333333334,0.6666666666666666,0.9583333333333334,0.7916666666666667,0.45833333333333337,1.0,-0.75,-1.0,-0.41666666666666663,0.2916666666666667,0.08333333333333333,0.5416666666666666,0.0,-0.25,0.33333333333333326,0.08333333333333337,-0.08437499999999998,0.375,-0.04166666666666667,-0.375,0.25,0.08333333333333334,-0.25,0.41666666666666663
