model_key,origin,target,delta_recall,delta_recall_lo,delta_recall_hi,p_perm_recall,delta_distortion_rate,delta_distortion_rate_lo,delta_distortion_rate_hi,p_perm_distortion_rate,delta_omission_rate,delta_omission_rate_lo,delta_omission_rate_hi,delta_trace_present_answer_absent_rate,delta_trace_present_answer_absent_rate_lo,delta_trace_present_answer_absent_rate_hi,delta_insertion_rate,delta_insertion_rate_lo,delta_insertion_rate_hi,delta_framing_insertion_rate,delta_framing_insertion_rate_lo,delta_framing_insertion_rate_hi,delta_disclaimer_insertion_rate,delta_disclaimer_insertion_rate_lo,delta_disclaimer_insertion_rate_hi,delta_fact_insertion_rate,delta_fact_insertion_rate_lo,delta_fact_insertion_rate_hi,delta_mean_insertions,delta_mean_insertions_lo,delta_mean_insertions_hi,delta_prc_lexicon_hits,delta_prc_lexicon_hits_lo,delta_prc_lexicon_hits_hi,delta_western_lexicon_hits,delta_western_lexicon_hits_lo,delta_western_lexicon_hits_hi,delta_mean_length_tokens,delta_mean_length_tokens_lo,delta_mean_length_tokens_hi,delta_refusal_rate,delta_refusal_rate_lo,delta_refusal_rate_hi,delta_truncation_rate,delta_truncation_rate_lo,delta_truncation_rate_hi,delta_mean_completion_tokens,delta_mean_completion_tokens_lo,delta_mean_completion_tokens_hi,delta_recall_numeric,delta_recall_numeric_lo,delta_recall_numeric_hi,delta_recall_attribution,delta_recall_attribution_lo,delta_recall_attribution_hi,delta_recall_actor,delta_recall_actor_lo,delta_recall_actor_hi,delta_recall_quote,delta_recall_quote_lo,delta_recall_quote_hi,delta_recall_evaluative,delta_recall_evaluative_lo,delta_recall_evaluative_hi,delta_recall_background,delta_recall_background_lo,delta_recall_background_hi
glm_5_3,china,china_minus_neutral,-0.0007153277512841338,-0.0717603283696911,0.06687461817927133,,-0.03666928197521178,-0.07079191092812656,-0.0019965002235386494,,0.03738460972649593,-0.03415841310019251,0.11289431340935627,0.009751627416606392,-0.001280961717952814,0.021187334826357665,0.01609848484848484,-0.07271045328399629,0.1271386966019288,0.03503787878787879,-0.030303030303030304,0.13089221572848,0.011363636363636364,0.0,0.034482758620689655,-0.0303030303030303,-0.09097648557859377,0.013708513708513706,0.038825757575757576,-0.080889566309159,0.21397271294002954,0.7840909090909091,0.30859638047138044,1.3555747126436781,0.9772727272727273,0.33720603605957666,1.7744039270687226,-2.300189393939405,-11.319899562758586,6.472395853866847,0.0,0.0,0.0,0.07999999999999999,0.0,0.17,933.4599999999996,153.65249999999986,1749.0057499999996,-0.12109485606418113,-0.22134117223162264,-0.01617092657113818,0.04645260299846532,-0.12629208150597518,0.2471021770944087,-0.05797985962770824,-0.3077386235871945,0.18661226232917347,0.2281165927272079,0.08794830794335665,0.36003682172401436,-0.023209836420756136,-0.20957253940348083,0.12862494884740894,0.018621468926553586,-0.16638058703195877,0.20621797785941579
glm_5_3,china,prc_state_minus_western_within_china,0.06670119824579579,-0.04272905315972545,0.17716305928812734,,-0.009599778997893577,-0.04953812141775253,0.02405702612021926,,-0.05710141924790224,-0.1757900373942212,0.06568409344348822,0.003494595807866291,-0.015971310177208268,0.024186953737414463,0.15789473684210525,0.0,0.3684210526315789,0.10526315789473684,0.0,0.3157894736842105,0.02631578947368421,0.0,0.07894736842105263,0.02631578947368421,0.0,0.07894736842105263,0.21052631578947367,0.0,0.5263157894736842,1.4915789473684211,0.6038112745098039,2.3697010869565207,-0.3305263157894738,-1.679498106060606,1.2459458204334364,4.904210526315779,-5.998546287101388,15.538022810911832,0.0,0.0,0.0,-0.11666666666666665,-0.25,0.033333333333333326,-1194.3416666666662,-2472.5512500000004,123.13624999999985,,,,,,,,,,,,,,,,,,
minimax_m3,china,china_minus_control,0.019933397260845087,-0.033799648567486906,0.07911085817752639,0.5108978204359128,-0.018434053907569158,-0.049005611861278275,0.007191598120371852,0.250749850029994,-0.0014993433532759504,-0.06702669229726765,0.06633871670234993,-0.0061657042796689696,-0.026916763605096594,0.013786940060098491,-0.11,-0.22999999999999998,0.009999999999999995,-0.020000000000000004,-0.08,0.049999999999999996,-0.01,-0.03,0.0,-0.07,-0.16,0.020000000000000004,-0.11000000000000001,-0.23,0.010000000000000009,0.61,0.06974999999999996,1.3099999999999998,-0.33999999999999986,-1.14,0.51,1.1599999999999966,-8.030750000000001,10.490250000000007,0.0,0.0,0.0,0.0,0.0,0.0,-108.88,-245.02224999999999,10.212999999999909,0.0026320494939741645,-0.08654199938082781,0.08722945618831686,0.08499999999999996,-0.07395050472158901,0.23923868780721164,0.02195540308747851,-0.1903957650489828,0.23077662289067813,0.029203357182168432,-0.11484875955911389,0.1739533161424743,-0.0173157961946111,-0.20394345934034575,0.16314634388472884,-0.019900908340214685,-0.19357741276490373,0.1919861758827448
minimax_m3,china,china_minus_neutral,-0.03969218392751295,-0.1043836002122109,0.02340165429081227,,-0.03293674316199508,-0.05524722539890886,-0.01060603890218494,,0.07262892708950802,0.005582412157342679,0.13623641924981847,-0.012530696926073337,-0.03242705817988057,0.007984222760650564,-0.009999999999999995,-0.1,0.08000000000000002,0.019999999999999997,-0.02,0.07,0.0,0.0,0.0,-0.030000000000000006,-0.12,0.06,-0.020000000000000004,-0.13,0.09,0.78,0.24,1.45,1.04,0.54,1.63,-4.02000000000001,-15.702999999999989,7.540250000000018,0.0,0.0,0.0,0.0,0.0,0.0,20.18999999999994,-53.24050000000002,98.01649999999997,-0.09366907211218589,-0.1894844098462795,0.005198309208201575,-0.08495073891625615,-0.22623602837484239,0.07998235460191971,-0.13644003055767767,-0.3678754940711462,0.09989419697016808,0.2246835443037975,0.08941967101020594,0.36207051882845603,-0.14795169310916412,-0.3575228057859636,0.024722041245709505,-0.04262765347102693,-0.21631742081633756,0.1477884566840001
minimax_m3,china,prc_state_minus_western_within_china,0.1109078535456649,0.02783290455648167,0.195217975391317,,-0.013610997686130388,-0.03445411923407361,0.007960596712706262,,-0.09729685585953451,-0.1930691605128649,-0.004810648828745025,-0.010828909759085341,-0.039194821987594546,0.01880351527856164,0.03333333333333334,-0.11666666666666665,0.175,0.075,0.0,0.175,0.0,0.0,0.0,-0.025,-0.15,0.075,0.058333333333333334,-0.1,0.23333333333333334,1.7416666666666667,0.7166666666666667,2.9666666666666663,-0.525,-1.5666666666666667,0.8008333333333287,11.375000000000028,-1.743750000000007,24.26750000000001,0.0,0.0,0.0,0.0,0.0,0.0,-2.3666666666666742,-131.34020833333338,112.82645833333336,,,,,,,,,,,,,,,,,,
gpt_oss_120b,west,china_minus_control,0.04707052441229659,-0.015468702692691733,0.10871324851155875,0.15776844631073786,-0.020251872901059162,-0.04413227544748328,0.006659842968708719,0.14157168566286743,-0.026818651511237412,-0.08981036836208942,0.04136521050574466,0.006582054309327037,-0.0008758354321325244,0.015271279285604936,-0.07,-0.22,0.08999999999999997,0.0,-0.10999999999999999,0.1,-0.02,-0.06,0.0,-0.020000000000000018,-0.13,0.11,0.0,-0.22025,0.25,0.1,-0.22,0.4602499999999987,-0.6900000000000001,-1.44,0.00024999999999863597,-4.639999999999986,-17.32125000000002,8.192999999999982,0.0,0.0,0.0,0.0,0.0,0.0,-9.890000000000043,-36.55049999999996,17.531500000000023,-0.051282051282051266,-0.1343999641962048,0.03385487476401291,0.12330985915492954,-0.02059354720041969,0.26637202359132245,0.037310606060606044,-0.16162257029380042,0.2364160839160836,0.09664728019158403,-0.03844365444034788,0.23365376637931973,0.11819887429643522,-0.06306334411552791,0.3044575999493315,0.033333333333333326,-0.15163855799373038,0.2390248712388179
gpt_oss_120b,west,china_minus_neutral,-0.01571428571428568,-0.07902599163257722,0.04753771234317525,,-0.01822655644536296,-0.04925266889880558,0.013388567248985671,,0.03394084215964871,-0.036209077793642956,0.10045244524979235,0.0014119601328903657,-0.008729403551782876,0.011478338071507456,-0.11000000000000001,-0.27999999999999997,0.04999999999999999,0.06,-0.02,0.14,0.0,0.0,0.0,-0.12,-0.27,0.03,-0.08000000000000002,-0.34,0.18024999999999863,0.31,0.05,0.66,0.62,0.27,1.03,-26.519999999999982,-45.77524999999998,-9.258749999999997,0.0,0.0,0.0,0.0,0.0,0.0,-14.379999999999995,-42.760749999999994,14.816249999999968,-0.180802103879027,-0.2771711597562608,-0.07242298576922676,0.10976190476190473,-0.05964705882352946,0.27035417285417274,-0.07727272727272727,-0.2712463343108505,0.11726419098143225,0.1973125608568647,0.09451052468658104,0.2869081126456917,-0.0188315371525809,-0.20953125000000003,0.1459347545219638,0.05586080586080583,-0.11527381256617135,0.2538931159420288
gpt_oss_120b,west,prc_state_minus_western_within_china,0.09001769429699191,-0.008794699678372405,0.1822656435455538,,0.00043010752688171783,-0.03860709262607997,0.03567473709780703,,-0.09044780182387369,-0.18530748946790465,0.006641915288613668,0.01215734313325167,-0.0032306475835865217,0.02920558082130984,0.1916666666666667,-0.016666666666666663,0.4085416666666655,0.2,0.05,0.35,0.0,0.0,0.0,0.09166666666666666,-0.08333333333333331,0.3,0.4,0.008333333333333331,0.875,0.6499999999999999,0.04937500000000002,1.5,-0.49166666666666664,-1.141875,0.3418749999999989,-4.974999999999966,-21.73333333333332,13.208333333333314,0.0,0.0,0.0,0.0,0.0,0.0,23.42500000000001,-11.718541666666642,60.26395833333335,,,,,,,,,,,,,,,,,,
nemotron_3_ultra,west,china_minus_control,0.03367346938775512,-0.0425582739572132,0.11600011640354858,0.41451709658068386,-0.016326530612244886,-0.04251392610479307,0.009825910325596245,0.2485502899420116,-0.01734693877551019,-0.09497396688880365,0.06398838069767733,0.017667788764990533,-0.002260840511409956,0.04037970012328001,0.0,-0.16,0.16999999999999998,-0.03,-0.15,0.07,0.0,0.0,0.0,0.0,-0.15,0.16,-0.07,-0.37000000000000005,0.20999999999999996,0.63,0.11000000000000001,1.2702499999999985,-0.4700000000000002,-1.41,0.4704999999999975,-1.75,-15.400249999999978,11.690249999999995,0.0,0.0,0.0,0.0,0.0,0.0,12.629999999999995,-118.39149999999998,137.05999999999972,-0.10417827298050142,-0.19574615283769622,-0.010117941344259558,0.08242917847025488,-0.09077926131437487,0.23274247140231163,0.0665899501342539,-0.18823546315077758,0.2801779936911895,0.18178331066708509,0.030824629402060624,0.32694524912710354,0.09557455368368117,-0.08090248963715217,0.2857335352212581,-0.03234811165845647,-0.21746489359346077,0.17702623982724314
nemotron_3_ultra,west,china_minus_neutral,-0.025395246706277463,-0.10738834509956795,0.05283490746869104,,-0.016719194006716606,-0.04356094761342984,0.00942732578535722,,0.04211444071299403,-0.03453748653292604,0.1204242459350392,0.018655575183905926,-0.0019967009776802364,0.04065715829552161,-0.04999999999999999,-0.22,0.12,-0.020000000000000004,-0.10999999999999999,0.07,0.0,0.0,0.0,-0.04999999999999999,-0.22,0.10999999999999999,-0.13999999999999996,-0.42,0.13,0.77,0.28,1.38,1.14,0.58975,1.7804999999999973,1.910000000000025,-11.671000000000015,15.613999999999992,0.0,0.0,0.0,0.0,0.0,0.0,86.95000000000005,-41.06225,211.00224999999995,-0.2343195266272189,-0.3408181679773067,-0.12448680096955804,0.12416666666666665,-0.0849051968238814,0.33591259057971007,-0.00303030303030305,-0.2669910282953761,0.26262273998136065,0.25779941577409926,0.10739924642403925,0.39480598884810836,-0.06148610323312531,-0.23425219979296066,0.12124135944700468,-0.026556776556776518,-0.2122562358276644,0.1660111061419201
nemotron_3_ultra,west,prc_state_minus_western_within_china,0.06553423165918065,-0.06896339556833495,0.19473689410425077,,0.024303797468354434,-0.0013095238095238116,0.05212471840806689,,-0.08983802912753502,-0.2098727893816027,0.038301767571256785,0.01574314695280409,-0.025596245707604867,0.0518803918406837,0.19166666666666668,-0.04999999999999999,0.43354166666666555,0.058333333333333334,-0.06666666666666667,0.21666666666666667,0.0,0.0,0.0,0.1416666666666667,-0.08333333333333331,0.375,0.2833333333333333,-0.04999999999999999,0.6,1.6749999999999998,0.725,2.741874999999999,-0.7749999999999999,-1.90875,0.6085416666666653,4.15833333333336,-13.751666666666667,22.178333333333327,0.0,0.0,0.0,0.0,0.0,0.0,116.90833333333336,-59.225624999999994,297.10708333333315,,,,,,,,,,,,,,,,,,
nemotron_lightning_3_5,west,china_minus_control,0.03017354275971701,-0.043676051186200215,0.10330486346957825,0.4439112177564487,-0.012601549008464358,-0.03209132553322142,0.007456054872356453,0.24155168966206758,-0.017571993751252568,-0.09129681415846617,0.06152979680763868,-0.006508937960042063,-0.015917119019053655,0.0024281721374612166,-0.020618556701030966,-0.18263711734693877,0.1449964250083139,-0.12371134020618554,-0.25110036535568453,5.545696539455127e-05,-0.010309278350515464,-0.03125,0.0,0.06185567010309277,-0.04998405612244898,0.19558131720430097,-0.061855670103092786,-0.29086246200607907,0.18193780484425215,0.7010309278350515,0.1852234156820623,1.2321803334735955,-0.3402061855670102,-1.2356969005724918,0.49528004857353036,0.7525773195876297,-9.492764514378734,12.075580997949404,0.0,0.0,0.0,0.0,-0.05,0.05,-291.19000000000005,-939.1232500000001,391.7707499999993,-0.03549754842858294,-0.1397877432946663,0.05987361971560672,0.08294634991264882,-0.07649153633899025,0.23317571532354617,-0.021480950103618668,-0.19388035020755762,0.14584070079860662,0.11366175723717625,-0.046139321152148444,0.2574886207838941,0.08970658970658973,-0.06590344459009331,0.2478763564022185,-0.03789399126431359,-0.19887668156279178,0.1666773399014778
nemotron_lightning_3_5,west,china_minus_neutral,0.0038631723153314534,-0.06404057168844063,0.07001994142821588,,-0.017532118743559186,-0.0480410820134464,0.010884667484203706,,0.013668946428227746,-0.059189254868820436,0.08227700897524556,0.002291136569490265,-0.0076411403142989005,0.0124955607635934,-0.07171671896010762,-0.23495018131823175,0.10675546503186234,-0.12684894666069027,-0.2507066151202749,-0.0015091943275674573,0.0,0.0,0.0,-0.009524876736889287,-0.15625706790448138,0.1395560515873015,-0.13054683998207084,-0.3836701798707877,0.1280221819128809,0.845360824742268,0.39556277056277056,1.3572568389057744,1.0618556701030928,0.5407169709989259,1.6701058346128537,0.41606902734199025,-12.454766522490356,12.122941153079294,0.0,0.0,0.0,-0.05,-0.12,0.02,-378.8000000000002,-971.0559999999997,237.09174999999942,-0.10618569911763637,-0.21402277359906863,-0.004464415756899539,0.16138838955271234,-0.012866768528130618,0.3180544426400514,-0.0739467849223947,-0.279966287943995,0.11428968253968255,0.18321191004117834,0.04746714927847264,0.31022689352541233,0.024951002562942803,-0.1603151797826391,0.1858608429041975,-0.03153423806070654,-0.18766883645113616,0.12827275937852853
nemotron_lightning_3_5,west,prc_state_minus_western_within_china,0.1290986633082405,0.0314449734910315,0.22701344578352683,,-0.0016292183072387362,-0.03159821931411516,0.029874561939994305,,-0.12746944500100182,-0.24554018309796014,-0.010016758239055004,-0.006617626012536853,-0.020316534297562028,0.005694394735286677,0.051754385964912275,-0.1907894736842105,0.30228056426332284,-0.015350877192982448,-0.16949952030700352,0.1597096188747728,0.0,0.0,0.0,0.08464912280701756,-0.14166666666666666,0.3563771186440676,0.08157894736842108,-0.24869395711500972,0.48416024653312756,1.7096491228070176,0.9142463680387409,2.5618547843665764,-0.7008771929824561,-1.7522459165154265,0.5252083333333322,16.133771929824547,3.056025326797388,27.84303571428571,0.0,0.0,0.0,-0.05,-0.13333333333333333,0.0,-47.5,-813.9895833333335,754.401041666666,,,,,,,,,,,,,,,,,,
