model_key,origin,group,claim_type,n,recall,recall_lo,recall_hi,distortion_rate,distortion_rate_lo,distortion_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi
qwen3_8_max,china,control,attribution,355,0.504225352112676,0.41247321428571426,0.5971493506493507,0.09577464788732394,0.05531548055759354,0.13671219187208528,0.4,0.30378317680685996,0.48572332730560575,0.014084507042253521,0.004998456790123457,0.023880597014925373
qwen3_8_max,china,control,actor,160,0.3,0.2,0.43031468531468525,0.06875,0.01875,0.12434121621621613,0.63125,0.4689655172413793,0.7714484126984126,0.0125,0.0,0.03225806451612903
qwen3_8_max,china,control,quote,370,0.3,0.21666666666666667,0.38002054794520534,0.07297297297297298,0.04443798449612403,0.10769736842105261,0.6270270270270271,0.5303030303030303,0.7205136986301369,0.016216216216216217,0.0,0.03636363636363636
qwen3_8_max,china,control,evaluative,195,0.5794871794871795,0.441,0.7045508658008658,0.035897435897435895,0.0,0.07692307692307693,0.38461538461538464,0.26666666666666666,0.5219579945799457,0.010256410256410256,0.0,0.023255813953488372
qwen3_8_max,china,control,background,175,0.4342857142857143,0.30665624999999996,0.5562723214285713,0.02857142857142857,0.0,0.08,0.5371428571428571,0.4092970401691332,0.6777777777777778,0.02857142857142857,0.0,0.06315789473684211
qwen3_8_max,china,neutral,numeric,845,0.5562130177514792,0.46328780812791476,0.6306716049382716,0.08994082840236686,0.05589766341319136,0.12486202461340583,0.35384615384615387,0.2729386347131445,0.4366046418567427,0.007100591715976331,0.001183431952662722,0.014907295819041436
qwen3_8_max,china,neutral,attribution,210,0.5095238095238095,0.33633292383292385,0.6717948717948717,0.13333333333333333,0.03997560975609756,0.22857142857142856,0.35714285714285715,0.21815280464216633,0.5070166112956809,0.0380952380952381,0.008691026827012026,0.08373317013463885
qwen3_8_max,china,neutral,actor,120,0.4583333333333333,0.28886666666666666,0.64,0.10833333333333334,0.044420289855072466,0.16923076923076924,0.43333333333333335,0.25830357142857147,0.6001612903225797,0.041666666666666664,0.00909090909090909,0.075
qwen3_8_max,china,neutral,quote,325,0.19076923076923077,0.11578206078576724,0.26669354838709664,0.046153846153846156,0.02372769848349688,0.07548145738451523,0.7630769230769231,0.6754493124400384,0.841188725490196,0.003076923076923077,0.0,0.011431318681318666
qwen3_8_max,china,neutral,evaluative,215,0.6837209302325581,0.5627634834240475,0.7960999999999995,0.037209302325581395,0.0,0.1,0.27906976744186046,0.15624618902439025,0.4071968438538203,0.013953488372093023,0.0,0.031818181818181815
qwen3_8_max,china,neutral,background,260,0.4807692307692308,0.3609729586426299,0.5859286225829553,0.05,0.019990196078431374,0.086494135645079,0.46923076923076923,0.3658419324577861,0.5822666666666664,0.011538461538461539,0.0,0.02456275303643724
kimi_k3,china,china,numeric,585,0.4888888888888889,0.41769523365936967,0.5669298185552892,0.05641025641025641,0.035479127134724855,0.08352040816326528,0.4547008547008547,0.36731580767900385,0.5339147319544111,0.03993055555555555,0.012152777777777778,0.0696599528898684
kimi_k3,china,china,attribution,400,0.69,0.5891854868567197,0.7891997191997192,0.0525,0.02666666666666667,0.0851063829787234,0.2575,0.15853150406504066,0.3738247508305647,0.01818181818181818,0.005,0.03513513513513514
kimi_k3,china,china,actor,165,0.4909090909090909,0.32852380952380955,0.6473684210526316,0.048484848484848485,0.01764705882352941,0.08387945670628179,0.46060606060606063,0.30621875000000004,0.631302083333333,0.024242424242424242,0.0058823529411764705,0.048281086729362564
kimi_k3,china,china,quote,395,0.5037974683544304,0.39992187500000004,0.5859429303091274,0.043037974683544304,0.01818181818181818,0.06666666666666667,0.4531645569620253,0.37713736263736264,0.5480575459023734,0.013262599469496022,0.0,0.04261363636363636
kimi_k3,china,china,evaluative,205,0.6731707317073171,0.5485714285714286,0.785,0.03414634146341464,0.009302325581395349,0.06315789473684211,0.2926829268292683,0.18535670731707318,0.4244947735191632,0.015544041450777202,0.0,0.030303030303030304
kimi_k3,china,china,background,210,0.5095238095238095,0.3785515873015873,0.6619047619047619,0.004761904761904762,0.0,0.013953488372093023,0.4857142857142857,0.34375,0.616342096160498,0.014492753623188406,0.0,0.03255813953488372
kimi_k3,china,control,numeric,720,0.5666666666666667,0.5,0.6359292206953001,0.07777777777777778,0.0477793610319484,0.1078042247053421,0.35555555555555557,0.2887246713452605,0.4209347925216597,0.008571428571428572,0.0030251507180402795,0.015679613308738127
kimi_k3,china,control,attribution,355,0.6197183098591549,0.5184150717703349,0.7174649859943978,0.04788732394366197,0.018175033921302576,0.08823529411764706,0.3323943661971831,0.23636363636363636,0.4342194606887589,0.014245014245014245,0.0,0.02970565349217847
kimi_k3,china,control,actor,160,0.46875,0.33655308464849354,0.6068965517241379,0.05625,0.011764705882352941,0.11614247311827951,0.475,0.325,0.6258279569892472,0.01935483870967742,0.0,0.05
kimi_k3,china,control,quote,370,0.35405405405405405,0.24720833333333334,0.4619718309859155,0.05675675675675676,0.030298879202988793,0.08148391812865496,0.5891891891891892,0.4773277108433735,0.7042810086324395,0.030303030303030304,0.010199815712238072,0.05202344832997672
kimi_k3,china,control,evaluative,195,0.6358974358974359,0.472683284457478,0.7567567567567568,0.020512820512820513,0.005128205128205128,0.041025641025641026,0.3435897435897436,0.2153846153846154,0.5000806451612899,0.010416666666666666,0.0,0.029706664696320356
kimi_k3,china,control,background,175,0.49714285714285716,0.35,0.6216216216216216,0.04,0.012903225806451613,0.07142857142857142,0.46285714285714286,0.3371233766233766,0.6114369747899159,0.017241379310344827,0.0,0.04205730447614362
kimi_k3,china,neutral,numeric,845,0.6864608076009501,0.6130093500766048,0.7505570453868259,0.07838479809976247,0.048085480093676816,0.11510071584686034,0.23515439429928742,0.17436872309899568,0.2967928916699774,0.00639386189258312,0.0016281408087811726,0.01084360698608387
kimi_k3,china,neutral,attribution,210,0.6363636363636364,0.48570014144271567,0.7709701641970362,0.10047846889952153,0.04399756097560975,0.16426424571805,0.2631578947368421,0.15452797202797203,0.39153769841269837,0.015228426395939087,0.0,0.03125
kimi_k3,china,neutral,actor,120,0.5833333333333334,0.4095238095238095,0.75,0.09166666666666666,0.03076923076923077,0.16,0.325,0.1817965367965368,0.4909090909090909,0.028037383177570093,0.0,0.06666666666666667
kimi_k3,china,neutral,quote,325,0.2222222222222222,0.1476802030456853,0.3052704678362573,0.08950617283950617,0.043478260869565216,0.13636724386724383,0.6882716049382716,0.5947693850267379,0.7756867688584106,0.0165016501650165,0.0,0.03254437869822485
kimi_k3,china,neutral,evaluative,215,0.7162790697674418,0.6057142857142858,0.828588850174216,0.05116279069767442,0.00967357910906298,0.12,0.23255813953488372,0.12120813397129188,0.3400245901639343,0.01485148514851485,0.0,0.027694444444444435
kimi_k3,china,neutral,background,260,0.5310077519379846,0.4285567313345091,0.6396280350084698,0.03875968992248062,0.003983276380643434,0.0852044503007247,0.43023255813953487,0.32894590643274857,0.5186741694752045,0.004219409282700422,0.0,0.013762258778867444
glm_5_3,china,china,numeric,585,0.5230769230769231,0.45167493796526054,0.5995041028623118,0.06346153846153846,0.030021981989110384,0.10438920917048129,0.41346153846153844,0.33131842438246134,0.4910095944596636,0.025,0.007125890736342043,0.04573963276253352
glm_5_3,china,china,attribution,400,0.686046511627907,0.5593120470239114,0.7929097498246435,0.040697674418604654,0.015503275973792209,0.06451805834233677,0.27325581395348836,0.15953860640301318,0.39938171991213517,0.020348837209302327,0.0030027782273291254,0.04673629625289305
glm_5_3,china,china,actor,165,0.5172413793103449,0.35667481022598374,0.6771717043434087,0.06896551724137931,0.018863516134720506,0.12849715139111673,0.41379310344827586,0.26351250202298104,0.5798846153846153,0.034482758620689655,0.011834319526627219,0.06154109589041095
glm_5_3,china,china,quote,395,0.4702549575070821,0.3460433533046981,0.5973358974358974,0.042492917847025496,0.02,0.0712031900138696,0.48725212464589235,0.37475186104218366,0.6,0.0084985835694051,0.0,0.02139909323413155
glm_5_3,china,china,evaluative,205,0.7071823204419889,0.5609756097560976,0.825881775333857,0.04419889502762431,0.005779516311208557,0.10304463554463546,0.24861878453038674,0.12578522200881256,0.4023771367521367,0.011049723756906077,0.0,0.024541134466458808
glm_5_3,china,china,background,210,0.5706214689265536,0.4230769230769231,0.7166847826086956,0.011299435028248588,0.0,0.02620374626522637,0.4180790960451977,0.2662538026944807,0.5674348825331971,0.022598870056497175,0.0,0.06977764177886571
glm_5_3,china,control,numeric,720,0.6189024390243902,0.5449623535637824,0.6964021152763411,0.05945121951219512,0.03288042463574378,0.08450818733539447,0.32164634146341464,0.25220548560630446,0.39295913032781843,0.012232415902140673,0.005117730203054435,0.020604404612273884
glm_5_3,china,control,attribution,355,0.5970149253731343,0.5093340430238346,0.6822172060415184,0.0626865671641791,0.027873902880077624,0.10194249215906222,0.3402985074626866,0.24125999304831422,0.44473084733128554,0.0060790273556231,0.0,0.01582404058669881
glm_5_3,china,control,actor,160,0.4228187919463087,0.2828811919504644,0.5935136090491339,0.026845637583892617,0.006535947712418301,0.051949928684032726,0.5503355704697986,0.37303673938002296,0.7033424908424907,0.05442176870748299,0.0274706457925636,0.08334677419354831
glm_5_3,china,control,quote,370,0.3764367816091954,0.29041285146133927,0.4767486583184258,0.034482758620689655,0.007935463659147868,0.06634034071793407,0.5890804597701149,0.48414523487451794,0.6862209026128262,0.023054755043227664,0.0,0.054795965551124204
glm_5_3,china,control,evaluative,195,0.6594594594594595,0.5259259259259259,0.7675675675675676,0.005405405405405406,0.0,0.01887090995939812,0.33513513513513515,0.22327400215749732,0.4620239623448864,0.011111111111111112,0.0,0.03261315039201708
glm_5_3,china,control,background,175,0.525,0.39473236663086286,0.6474370503597122,0.03125,0.0,0.06622516556291391,0.44375,0.3124845297029703,0.5966577540106951,0.012738853503184714,0.0,0.03164556962025317
glm_5_3,china,neutral,numeric,845,0.6441717791411042,0.5717392509716009,0.7107886784850926,0.10061349693251534,0.056976166640998,0.1520597165991902,0.2552147239263804,0.18693156738931388,0.3247747154596913,0.001226993865030675,0.0,0.003797588679790152
glm_5_3,china,neutral,attribution,210,0.6395939086294417,0.48569717707442256,0.7735849056603774,0.12690355329949238,0.04945054945054945,0.20526671408250355,0.233502538071066,0.11711601845748187,0.38097402597402585,0.025380710659898477,0.004651162790697674,0.05263157894736842
glm_5_3,china,neutral,actor,120,0.5752212389380531,0.3947308063737325,0.7767875590318772,0.07964601769911504,0.019801980198019802,0.15045125719904479,0.34513274336283184,0.17474614767970073,0.5217553536664502,0.02654867256637168,0.0,0.06870887075546193
glm_5_3,china,neutral,quote,325,0.24213836477987422,0.16409894508057676,0.3175695548489666,0.06918238993710692,0.036177041160593795,0.11112143742255261,0.6886792452830188,0.6019409745841321,0.7744157900245983,0.012578616352201259,0.0,0.02713376048093655
glm_5_3,china,neutral,evaluative,215,0.7303921568627451,0.6368456744276165,0.8486961555424875,0.049019607843137254,0.004651162790697674,0.12179568527918781,0.22058823529411764,0.08993304956992107,0.3163912429378531,0.0196078431372549,0.0,0.03461805555555554
glm_5_3,china,neutral,background,260,0.552,0.45291268296810216,0.6534653465346535,0.048,0.010273095983916966,0.10157198118932034,0.4,0.3033137826767601,0.4862447309695016,0.008,0.0,0.016778523489932886
minimax_m3,china,china,numeric,585,0.49914529914529915,0.4373729678787403,0.5704918032786885,0.05128205128205128,0.02831816663883787,0.08276886309320582,0.4495726495726496,0.3717030885780886,0.5152831572769953,0.02905982905982906,0.00951904761904762,0.05424100505501039
minimax_m3,china,china,attribution,400,0.585,0.47037083259047957,0.6939746300211415,0.0575,0.032782430506058446,0.08717948717948718,0.3575,0.2527443609022556,0.46849510763209395,0.0425,0.01927463277768609,0.07246467391304348
minimax_m3,china,china,actor,165,0.41818181818181815,0.26315037593984963,0.5697138047138046,0.048484848484848485,0.006890804597701149,0.11163132694938438,0.5333333333333333,0.3785515873015873,0.6833333333333333,0.09090909090909091,0.04,0.15
minimax_m3,china,china,quote,395,0.379746835443038,0.2628441558441558,0.5,0.05569620253164557,0.029627525252525252,0.08445098039215683,0.5645569620253165,0.4507452175741013,0.6771092943201377,0.015189873417721518,0.002701801801801802,0.030989045383411563
minimax_m3,china,china,evaluative,205,0.5219512195121951,0.3547912713472486,0.6636733615221986,0.03902439024390244,0.004761904761904762,0.08667948717948712,0.43902439024390244,0.30609438775510206,0.6,0.04878048780487805,0.0125,0.09142857142857143
minimax_m3,china,china,background,210,0.4714285714285714,0.33513175675675677,0.6303146853146852,0.004761904761904762,0.0,0.014634146341463415,0.5238095238095238,0.3526315789473684,0.6612494331065759,0.02857142857142857,0.008888888888888889,0.05263157894736842
minimax_m3,china,control,numeric,720,0.496513249651325,0.44669276830953475,0.557693894389439,0.09205020920502092,0.04443683409436834,0.1573783912127844,0.41143654114365413,0.34402552340625736,0.4712260721718992,0.03347280334728033,0.014492276887871854,0.057803468208092484
minimax_m3,china,control,attribution,355,0.5,0.4028159233176839,0.6027416554119236,0.07428571428571429,0.034375,0.1230821917808219,0.4257142857142857,0.31289314516129035,0.5410097410311236,0.03142857142857143,0.0136986301369863,0.05161290322580645
minimax_m3,china,control,actor,160,0.39622641509433965,0.2586158465710965,0.5384615384615384,0.06918238993710692,0.01922770700636943,0.13637716450216442,0.5345911949685535,0.3785071428571429,0.6766617558533725,0.06918238993710692,0.03246665496665496,0.11628620345270363
minimax_m3,china,control,quote,370,0.35054347826086957,0.26666666666666666,0.43492453748782856,0.024456521739130436,0.012163733223451849,0.039870431893687684,0.625,0.5411518819746548,0.7075471698113207,0.04891304347826087,0.02133191489361702,0.0732897538409693
