model_key,origin,group,n_samples,n_judged,recall,recall_lo,recall_hi,distortion_rate,distortion_rate_lo,distortion_rate_hi,omission_rate,omission_rate_lo,omission_rate_hi,trace_present_answer_absent_rate,trace_present_answer_absent_rate_lo,trace_present_answer_absent_rate_hi,insertion_rate,insertion_rate_lo,insertion_rate_hi,framing_insertion_rate,framing_insertion_rate_lo,framing_insertion_rate_hi,disclaimer_insertion_rate,disclaimer_insertion_rate_lo,disclaimer_insertion_rate_hi,fact_insertion_rate,fact_insertion_rate_lo,fact_insertion_rate_hi,mean_insertions,mean_insertions_lo,mean_insertions_hi,prc_lexicon_hits,prc_lexicon_hits_lo,prc_lexicon_hits_hi,western_lexicon_hits,western_lexicon_hits_lo,western_lexicon_hits_hi,mean_length_tokens,mean_length_tokens_lo,mean_length_tokens_hi,refusal_rate,refusal_rate_lo,refusal_rate_hi,truncation_rate,truncation_rate_lo,truncation_rate_hi,mean_completion_tokens,mean_completion_tokens_lo,mean_completion_tokens_hi
kimi_k3,china,china_western_or_ngo,60,60,0.5333333333333333,0.47283898305084743,0.5897446808510638,0.04472573839662447,0.029661016949152543,0.06584004237288131,0.4219409282700422,0.3567677325167355,0.4895470179419899,0.01350210970464135,0.007594936708860759,0.020168067226890758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.36666666666666664,0.8833333333333333,0.43333333333333335,1.4333333333333333,249.03333333333333,241.61625,255.98375,0.0,0.0,0.0,0.0,0.0,0.0,1620.0666666666666,1426.0333333333333,1830.5987499999999
glm_5_3,china,china,100,100,0.5686046511627907,0.514444043949488,0.6226215129429504,0.047674418604651166,0.0299984076433121,0.06923295454545454,0.38372093023255816,0.32352722988305116,0.445006498470948,0.019767441860465116,0.010886316115542477,0.030178062678062674,0.06818181818181818,0.0,0.16875890659411794,0.045454545454545456,0.0,0.13953488372093023,0.011363636363636364,0.0,0.03488372093023256,0.011363636363636364,0.0,0.03529411764705882,0.09090909090909091,0.0,0.2409742417947652,0.7840909090909091,0.2823453996983409,1.3297619047619043,0.9772727272727273,0.34523809523809523,1.719195884662244,253.89772727272728,248.976410947249,259.0806704980843,0.0,0.0,0.0,0.12,0.05,0.2,4115.98,3448.5565,4847.254
glm_5_3,china,control,100,100,0.5488270594653574,0.5029706930117794,0.5973723302846138,0.0447354064375341,0.029069610984554534,0.06016359785334667,0.4064375340971086,0.34975058774592444,0.46507675910821095,0.016538037486218304,0.009345409686387557,0.024777639918679727,0.13978494623655913,0.041237113402061855,0.2717391304347826,0.07526881720430108,0.010526315789473684,0.17527189305539811,0.043010752688172046,0.0,0.13186813186813187,0.021505376344086023,0.0,0.06593406593406594,0.17204301075268819,0.0425531914893617,0.33703260869565177,0.17204301075268819,0.0,0.45163837011884533,1.4193548387096775,0.7064902745995424,2.1632287549407105,252.40860215053763,246.83124707397005,258.0446920289855,0.0,0.0,0.0,0.07,0.02,0.14,3547.61,3048.47575,4110.005499999999
glm_5_3,china,neutral,100,100,0.5693199789140748,0.5331148569413579,0.6036334593232541,0.08434370057986294,0.05963764987539002,0.11540987734887263,0.3463363205060622,0.30389875176275116,0.39016959017272823,0.010015814443858724,0.005257278927544047,0.016340579710144923,0.052083333333333336,0.01020408163265306,0.10638297872340426,0.010416666666666666,0.0,0.031914893617021274,0.0,0.0,0.0,0.041666666666666664,0.0,0.09473684210526316,0.052083333333333336,0.010201504844361987,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.0,256.1979166666667,249.19559041501975,263.4661746329272,0.0,0.0,0.0,0.04,0.0,0.09,3182.52,2740.1877499999996,3674.48575
glm_5_3,china,china_prc_state,40,40,0.6068027210884354,0.5165384989305852,0.6938012170385395,0.04217687074829932,0.024,0.06143790849673202,0.3510204081632653,0.2612244897959184,0.4431747663094014,0.021768707482993196,0.009210526315789473,0.03821656050955414,0.15789473684210525,0.025,0.3684210526315789,0.10526315789473684,0.0,0.3157894736842105,0.02631578947368421,0.0,0.07894736842105263,0.02631578947368421,0.0,0.07894736842105263,0.21052631578947367,0.025,0.5263157894736842,1.631578947368421,0.7894736842105263,2.5,0.7894736842105263,0.0,2.1052631578947367,256.6842105263158,247.23144736842104,266.5,0.0,0.0,0.0,0.05,0.0,0.15,3399.375,2496.14,4504.6224999999995
glm_5_3,china,china_western_or_ngo,60,60,0.5401015228426396,0.47106353364990994,0.6030007575757576,0.05177664974619289,0.025697577151734236,0.08761929307805597,0.40812182741116754,0.33186411149825784,0.48900013089005234,0.018274111675126905,0.006896551724137931,0.03141398653702318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.35857085507828135,1.12,0.45098039215686275,2.0577205882352936,251.78,246.20707547169812,256.98078703703703,0.0,0.0,0.0,0.16666666666666666,0.06666666666666667,0.2833333333333333,4593.716666666666,3792.6575,5406.940416666666
minimax_m3,china,china,100,100,0.48520408163265305,0.44173027989821884,0.529931602072267,0.04693877551020408,0.03645223218621516,0.05809932584859136,0.46785714285714286,0.4189731457800511,0.5171738963236425,0.036224489795918365,0.02118863049095607,0.05115384865047319,0.08,0.02,0.16,0.03,0.0,0.08,0.0,0.0,0.0,0.04,0.0,0.11,0.09,0.02,0.18,0.78,0.25,1.4102499999999984,1.04,0.5397500000000001,1.6502499999999984,252.9,246.29975000000002,259.53124999999994,0.0,0.0,0.0,0.0,0.0,0.0,595.52,536.09825,668.85475
minimax_m3,china,control,100,100,0.46527068437180796,0.427178391959799,0.5059560828833981,0.06537282941777324,0.04290654052632637,0.09695888221066506,0.4693564862104188,0.4246482142694904,0.5143599376645792,0.042390194075587334,0.028569209144040836,0.05676662436498873,0.19,0.1,0.29,0.05,0.01,0.1,0.01,0.0,0.03,0.11,0.04,0.19,0.2,0.11,0.3,0.17,0.01,0.38,1.38,0.76,2.0502499999999984,251.74,245.5295,258.06424999999996,0.0,0.0,0.0,0.0,0.0,0.0,704.4,603.6895000000001,815.28025
minimax_m3,china,neutral,100,100,0.524896265560166,0.48077688687894055,0.5696711990783153,0.07987551867219916,0.06148150586279536,0.09859903916815066,0.39522821576763484,0.34958835188187426,0.44268809172925183,0.0487551867219917,0.03549052249566541,0.06230930638181331,0.09,0.03,0.16,0.01,0.0,0.03,0.0,0.0,0.0,0.07,0.02,0.14,0.11,0.04,0.19,0.0,0.0,0.0,0.0,0.0,0.0,256.92,248.11925,266.70149999999995,0.0,0.0,0.0,0.0,0.0,0.0,575.33,534.81925,622.77325
minimax_m3,china,china_prc_state,40,40,0.552258064516129,0.4751592356687898,0.6283963736032047,0.03870967741935484,0.024355095541401275,0.05419354838709677,0.40903225806451615,0.3262951496388029,0.4923101265822785,0.02967741935483871,0.00784313725490196,0.0531666118691435,0.1,0.025,0.2,0.075,0.0,0.175,0.0,0.0,0.0,0.025,0.0,0.075,0.125,0.025,0.275,1.825,0.775,3.075,0.725,0.0,1.875,259.725,248.225,270.45,0.0,0.0,0.0,0.0,0.0,0.0,594.1,512.65,673.55
